"시점","시도별",데이터
"2021.11","세종특별자치시",104.01
"2021.11","경기도",103.97
"2021.11","강원도",104.53
"2021.11","충청북도",104.16
"2021.11","충청남도",104.39
"2021.11","전라북도",104.06
"2021.11","전라남도",104.29
"2021.11","경상북도",104.38
"2021.11","경상남도",103.90
"2021.11","제주특별자치도",104.41
"2021.12","서울특별시",103.32
"2021.12","부산광역시",103.87
"2021.12","대구광역시",104.30
"2021.12","인천광역시",104.38
"2021.12","광주광역시",104.10
"2021.12","대전광역시",103.97
"2021.12","울산광역시",104.12
"2021.12","세종특별자치시",104.16
"2021.12","경기도",104.16
"2021.12","강원도",104.69
"2021.12","충청북도",104.31
"2021.12","충청남도",104.45
"2021.12","전라북도",104.08
"2021.12","전라남도",104.34
"2021.12","경상북도",104.65
"2021.12","경상남도",104.15
"2021.12","제주특별자치도",104.43
"2022.01","서울특별시",103.99
"2022.01","부산광역시",104.58
"2022.01","대구광역시",104.90
"2022.01","인천광역시",104.99
"2022.01","광주광역시",104.59
"2022.01","대전광역시",104.55
"2022.01","울산광역시",104.83
"2022.01","세종특별자치시",104.96
"2022.01","경기도",104.79
"2022.01","강원도",105.37
"2022.01","충청북도",104.88
"2022.01","충청남도",105.06
"2022.01","전라북도",104.69
"2022.01","전라남도",104.89
"2022.01","경상북도",105.26
"2022.01","경상남도",104.90
"2022.01","제주특별자치도",105.39
"2022.02","서울특별시",104.64
"2022.02","부산광역시",105.14
"2022.02","대구광역시",105.59
"2022.02","인천광역시",105.64
"2022.02","광주광역시",105.06
"2022.02","대전광역시",105.24
"2022.02","울산광역시",105.18
"2022.02","세종특별자치시",105.45
"2022.02","경기도",105.36
"2022.02","강원도",106.04
"2022.02","충청북도",105.61
"2022.02","충청남도",105.90
"2022.02","전라북도",105.27
"2022.02","전라남도",105.51
"2022.02","경상북도",105.82
"2022.02","경상남도",105.49
"2022.02","제주특별자치도",105.92
"2022.03","서울특별시",105.09
"2022.03","부산광역시",105.84
"2022.03","대구광역시",106.34
"2022.03","인천광역시",106.29
"2022.03","광주광역시",106.01
"2022.03","대전광역시",106.12
"2022.03","울산광역시",105.88
"2022.03","세종특별자치시",106.56
"2022.03","경기도",106.14
"2022.03","강원도",107.07
"2022.03","충청북도",106.64
"2022.03","충청남도",106.94
"2022.03","전라북도",106.28
"2022.03","전라남도",106.61
"2022.03","경상북도",106.93
"2022.03","경상남도",106.40
"2022.03","제주특별자치도",106.77
"2022.04","서울특별시",105.74
"2022.04","부산광역시",106.45
"2022.04","대구광역시",107.08
"2022.04","인천광역시",107.10
"2022.04","광주광역시",106.89
"2022.04","대전광역시",106.73
"2022.04","울산광역시",106.75
"2022.04","세종특별자치시",107.43
"2022.04","경기도",106.89
"2022.04","강원도",108.23
"2022.04","충청북도",107.59
"2022.04","충청남도",107.87
"2022.04","전라북도",107.21
"2022.04","전라남도",107.66
"2022.04","경상북도",107.92
"2022.04","경상남도",107.24
"2022.04","제주특별자치도",107.74
"2022.05","서울특별시",106.36
"2022.05","부산광역시",107.11
"2022.05","대구광역시",107.82
"2022.05","인천광역시",107.82
"2022.05","광주광역시",107.91
"2022.05","대전광역시",107.42
"2022.05","울산광역시",107.42
"2022.05","세종특별자치시",108.33
"2022.05","경기도",107.60
"2022.05","강원도",109.04
"2022.05","충청북도",108.37
"2022.05","충청남도",108.43
"2022.05","전라북도",108.00
"2022.05","전라남도",108.53
"2022.05","경상북도",108.69
"2022.05","경상남도",107.91
"2022.05","제주특별자치도",108.58
"2022.06","서울특별시",106.88
"2022.06","부산광역시",107.81
"2022.06","대구광역시",108.33
"2022.06","인천광역시",108.49
"2022.06","광주광역시",108.59
"2022.06","대전광역시",108.18
"2022.06","울산광역시",107.96
