"시점","행정구역별",건수 (건),사망 (명),부상 (명),재산피해(계) (천원),부동산 (천원),동산 (천원),이재가구수 (가구),이재민수 (명)
"2012","강원도",2403,8,163,11816150,6863721,4952429,97,198
"2012","충청북도",1377,15,109,11484722,5442163,6042559,47,96
"2012","충청남도",3219,15,86,22120415,10705845,11414570,83,168
"2012","전라북도",1537,11,85,10271318,5126550,5144768,55,121
"2012","전라남도",2425,24,53,18017219,7889148,10128071,108,234
"2012","경상북도",2843,16,84,18251335,8607111,9644224,96,200
"2012","경상남도",3551,18,115,31194907,12943721,18251186,93,173
"2012","제주특별자치도",691,6,17,5239573,2133873,3105700,3,9
"2013","서울특별시",5646,31,202,21495228,6814090,14681138,58,153
"2013","부산광역시",2323,22,94,7742931,2715628,5027303,10,25
"2013","대구광역시",1538,14,100,7731740,3182913,4548827,39,94
"2013","인천광역시",1575,13,64,15547859,6691207,8856652,35,78
"2013","광주광역시",1110,10,34,5969079,2705625,3263454,19,39
"2013","대전광역시",1265,9,74,4165863,1788996,2376867,54,144
"2013","울산광역시",1192,2,91,10020606,3363892,6656714,11,24
"2013","세종특별자치시",194,3,3,1153162,623461,529701,2,12
"2013","경기도",9049,54,468,222216992,87881685,134335307,423,366
"2013","강원도",2097,10,115,12143429,5920891,6222538,100,192
"2013","충청북도",1345,16,88,9834530,4796887,5037643,49,101
"2013","충청남도",2657,26,70,24568566,12125646,12442920,106,210
"2013","전라북도",1569,13,71,10977138,5184852,5792286,56,108
"2013","전라남도",2480,30,110,15653543,7065196,8588347,114,237
"2013","경상북도",2737,16,130,25272260,11110523,14161737,145,296
"2013","경상남도",3416,26,114,35873612,15205363,20668249,126,233
"2013","제주특별자치도",739,12,49,4095792,1635825,2459967,7,18
"2014","서울특별시",5815,36,265,20052979,6674887,13378092,161,369
"2014","부산광역시",2026,19,86,8433712,3108898,5324814,26,49
"2014","대구광역시",1767,19,71,7462623,2906122,4556501,27,65
"2014","인천광역시",1818,12,73,15595630,6696782,8898848,66,144
"2014","광주광역시",1010,5,23,3678484,1759365,1919119,37,100
"2014","대전광역시",1291,5,62,33744479,8962144,24782335,22,43
"2014","울산광역시",890,6,39,7455437,3355047,4100390,13,22
"2014","세종특별자치시",223,1,6,1023281,479483,543798,1,4
"2014","경기도",9675,77,558,181242957,78215992,103026965,182,348
"2014","강원도",2182,20,96,13466380,7179677,6286703,87,167
"2014","충청북도",1316,6,71,14008756,6480544,7528212,69,132
"2014","충청남도",2838,21,65,20475505,9670113,10805392,99,206
"2014","전라북도",1652,13,57,10166416,5172054,4994362,66,134
"2014","전라남도",2620,43,131,20606435,8672713,11933722,125,243
"2014","경상북도",2803,20,134,18797795,8017539,10780256,71,114
"2014","경상남도",3622,17,93,27408231,10723814,16684417,116,213
"2014","제주특별자치도",587,5,26,1737413,749442,987971,10,21
"2015","서울특별시",5921,27,222,14337272,6079645,8257627,97,223
"2015","부산광역시",1973,17,84,17741193,3381139,14360054,27,55
"2015","대구광역시",1817,7,75,7962581,3654754,4307827,25,59
"2015","인천광역시",1875,16,89,16306026,6926014,9380012,56,128
"2015","광주광역시",1006,3,17,3022684,1283364,1739320,21,54
"2015","대전광역시",1254,3,44,3248504,1297385,1951119,32,73
"2015","울산광역시",874,6,45,4430098,2088836,2341262,6,23
